name,address,rating,rating_count,query,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Subito,"34 N Delaware St, Indianapolis, IN 46204, United States",4.9,296,restaurant,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,Closed,Closed,http://www.subitosoups.com/
Sauce on the SideÂ®,"130 S Pennsylvania St Suite 2, Indianapolis, IN 46204, United States",4.8,235,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,12:00 - 8:00 PM,http://www.sauceontheside.com/
Harry & Izzy's,"153 S Illinois St, Indianapolis, IN 46225, United States",4.7,2962,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 - 9:00 PM,http://www.harryandizzys.com/
Yats,"AVENUE, 910 W 10th St, Indianapolis, IN 46202, United States",4.7,502,restaurant,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,Closed,Closed,https://yatscajuncreole.com/wp/indiana/
Bru Burger Bar,"410 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,4536,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,https://www.bruburgerbar.com/Locations/Bru-Indy/
Bakersfield,"334 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2378,restaurant,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 10:00 PM,http://www.bakersfieldtacos.com/
Bazbeaux,"333 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2039,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,http://www.bazbeaux.com/
Bosphorus Istanbul Cafe,"935 S East St, Indianapolis, IN 46225, United States",4.5,1482,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 - 10:00 PM,4:00 - 8:00 PM,https://thebosphoruscafe.com/
Mimi Blue Restaurants,"870 Massachusetts Ave, Indianapolis, IN 46202, United States",4.5,1148,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.mimibluerestaurants.com/menus
Rooster's Kitchen,"888 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,654,restaurant,11:00 AM - 4:00 PM,Closed,11:00 AM - 4:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 4:00 PM,http://roostersindy.com/
Ember Urban Eatery,"435 Virginia Ave, Indianapolis, IN 46203, United States",4.5,470,restaurant,Closed,4:00 - 9:30 PM,4:00 - 9:30 PM,"11:00 AM - 2:00 PM, 4:00 - 9:30 PM","11:00 AM - 2:00 PM, 4:00 - 10:00 PM",12:00 - 10:00 PM,Closed,http://www.emberurbaneatery.com/about/
Naf Naf Grill,"921 Indiana Ave, Indianapolis, IN 46202, United States",4.5,288,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,https://www.nafnafgrill.com/
Yard House,"15 W Maryland St, Indianapolis, IN 46204, United States",4.4,2766,restaurant,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 10:30 PM,https://www.yardhouse.com/locations/in/indianapolis/indianapolis-circle-centre/8360?cmpid=br:yh_ag:ie_ch:dry_ca:YHGMB_sn:gmb_gt:indianapolis-in-8360_pl:locurl_rd:1057
Mesh - Indianapolis,"725 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1275,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.meshrestaurants.com/#loc3
The District Tap,"141 S Meridian St, Indianapolis, IN 46225, United States",4.4,836,restaurant,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,http://thedistricttap.com/
BODHI,"922 Massachusetts Ave, Indianapolis, IN 46202, United States",4.9,223,asian restaurant,5:00 - 10:00 PM,Closed,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 11:00 PM,4:00 - 11:00 PM,5:00 - 10:00 PM,http://www.bodhi-indy.com/
Stixx Social Room & Asian Grill,"361 Indiana Ave #1705, Indianapolis, IN 46204, United States",4.6,326,asian restaurant,Closed,3:00 - 10:00 PM,3:00 - 10:00 PM,3:00 - 10:00 PM,12:00 PM - 12:00 AM,5:00 PM - 12:00 AM,Closed,http://stixxcigarbar.com/
FortyFive Degrees,"765 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,1554,asian restaurant,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM,12:00 PM - 12:00 AM,12:00 - 10:00 PM,http://www.fortyfiveindy.com/
Thai Paradise,"137 W Market St, Indianapolis, IN 46204, United States",4.5,577,asian restaurant,"11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM",12:00 - 9:00 PM,Closed,https://www.thaiparadiseindianapolis.com/rs/index_home.action?pageType=D
Siam Square,"936 Virginia Ave, Indianapolis, IN 46203, United States",4.4,941,asian restaurant,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 - 10:00 PM,12:00 - 9:00 PM,http://www.siamsquareindy.com/
Modita,"850 Massachusetts Ave Suite 110, Indianapolis, IN 46204, United States",4.4,225,asian restaurant,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 9:00 PM,https://www.modita.com/
Bangkok Restaurant & Jazz Bar,"225 E Ohio St, Indianapolis, IN 46204, United States",4.3,567,asian restaurant,"11:00 AM - 3:30 PM, 4:30 - 9:00 PM","11:00 AM - 3:30 PM, 4:30 - 9:00 PM","11:00 AM - 3:30 PM, 4:30 - 9:00 PM","11:00 AM - 3:30 PM, 4:30 - 9:00 PM","11:00 AM - 3:30 PM, 4:30 - 10:00 PM",11:00 AM - 10:00 PM,12:00 - 9:00 PM,http://bangkokthaiandjazzbar.com/
Wei Ramen,"36 E Washington St, Indianapolis, IN 46204, United States",4.3,457,asian restaurant,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 9:00 PM,http://weiramen.com/
LiftOff Creamery,"111 E 16th St Ste 105, Indianapolis, IN 46202, United States",4.8,224,ice cream,12:30 - 9:00 PM,12:30 - 9:00 PM,12:30 - 9:00 PM,12:30 - 9:00 PM,12:30 - 10:00 PM,12:30 - 10:00 PM,12:30 - 9:00 PM,https://www.liftoffcreamery.com/
Square Scoop,"1028 Virginia Ave Suite 100, Indianapolis, IN 46203, United States",4.8,150,ice cream,Closed,2:00 - 9:00 PM,2:00 - 9:00 PM,2:00 - 9:00 PM,2:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 8:00 PM,http://www.sqrscoop.com/
Dairy Queen (Treat),"3826 English Ave, Indianapolis, IN 46201, United States",4.6,316,ice cream,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,12:00 - 9:00 PM,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=2762&y_source=1_ODk5NjM5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Sub Zero Nitrogen Ice Cream,"427 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1182,ice cream,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 9:00 PM,1:00 - 10:00 PM,12:00 - 10:00 PM,12:00 - 8:00 PM,https://www.subzeroicecream.com/
Homespun: Modern Handmade,"869 Massachusetts Ave, Indianapolis, IN 46204, United States",4.8,202,gift shop,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,https://www.homespunindy.com/
Silver In the City,"434 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,414,gift shop,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,http://www.silverinthecity.com/
Global Gifts,"446 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,65,gift shop,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,11:00 AM - 5:00 PM,https://www.globalgiftsft.com/
SHE. EVENT INDY CO - SHEXperience Shoppes,"CIRCLE CENTRE MALL SHEXPERIENCE SHOPPES, 49 W Maryland St D16A, Indianapolis, IN 46204, United States",4.8,59,mall,Closed,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,https://shexperience.org/
Idle Park,"800 Virginia Ave, Indianapolis, IN 46203, United States",4.8,120,park,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,http://www.idleindy.com/
White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.7,4460,state park,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
Military Park,"601 W New York St, Indianapolis, IN 46202, United States",4.6,1591,state park,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
Wheel Fun Rentals - White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.5,66,state park,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,10:00 AM - 8:45 PM,10:00 AM - 8:45 PM,http://wheelfunrentals.com/in/indianapolis/white-river-state-park/
Simon Skjodt International Orangutan Center,"Simon Skjodt International Orangutan Center, 1200 W Washington St, Indianapolis, IN 46222, United States",4.8,171,zoo,,,,,,,,https://www.indianapoliszoo.com/exhibits/orangutan-center/
Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,16728,zoo,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,http://www.indianapoliszoo.com/
Victory Field,"501 W Maryland St, Indianapolis, IN 46225, United States",4.8,4525,stadium,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,http://www.indyindians.com/
Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225, United States",4.7,12357,stadium,,,,,,,,http://www.lucasoilstadium.com/
Gainbridge Fieldhouse,"125 S Pennsylvania St, Indianapolis, IN 46204, United States",4.6,9593,stadium,,,,,,,,http://www.gainbridgefieldhouse.com/
Michael A. Carroll Track and Soccer Stadium,"1001 W New York St, Indianapolis, IN 46202, United States",4.4,280,stadium,,,,,,,,https://track-soccer.iupui.edu/
1933 Lounge,"127 Illinois St, Indianapolis, IN 46225, United States",4.6,329,bar,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 - 10:30 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 - 9:30 PM,https://www.stelmos.com/1933-lounge/
The Whistle Stop Inn,"375 Illinois St, Indianapolis, IN 46225, United States",4.6,260,bar,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 1:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,Closed,http://thewhistlestopin.com/
Burnside Inn,"314 Massachusetts Ave, Indianapolis, IN 46204, United States",4.6,237,bar,Closed,Closed,5:00 PM - 12:00 AM,5:00 PM - 1:00 AM,5:00 PM - 3:00 AM,2:00 PM - 3:00 AM,4:00 PM - 12:00 AM,https://www.facebook.com/pg/BurnsideInnLounge
Mass Avenue Pub,"745 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,688,bar,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,12:00 PM - 3:00 AM,http://massavenuepub.com/
Dugout Bar,"621 Virginia Ave, Indianapolis, IN 46203, United States",4.5,685,bar,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,Closed,http://thedugoutindy.com/
Plat 99,"333 Delaware St, Indianapolis, IN 46204, United States",4.5,231,bar,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,5:00 - 10:00 PM,https://www.thealexander.com/dining/plat-99
Kilroy's Bar & Grill,"201 S Meridian St, Indianapolis, IN 46225, United States",4.3,3292,bar,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,http://www.kilroysindy.com/
Loughmiller's Pub & Eatery,"301 W Washington St, Indianapolis, IN 46204, United States",4.3,1038,bar,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,12:00 PM - 12:00 AM,Closed,http://www.loughmillerspub.com/
Indianapolis Fire Fighters Museum,"748 Massachusetts Ave, Indianapolis, IN 46204, United States",4.8,139,museum,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 4:00 PM,Closed,Closed,http://l416.com/
Kurt Vonnegut Museum & Library,"543 Indiana Ave, Indianapolis, IN 46202, United States",4.8,92,museum,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,Closed,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 5:00 PM,http://www.vonnegutlibrary.org/
IPS Crispus Attucks Museum,"1140 Doctor M.L.K. Jr St, Indianapolis, IN 46202, United States",4.8,43,museum,Closed,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,https://facebook.com/crispus.attucks.549
Indiana War Memorial & Museum,"55 E Michigan St, Indianapolis, IN 46204, United States",4.7,2372,museum,Closed,Closed,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,https://www.indianawarmemorials.org/
Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",4.7,284,museum,10:00 AM - 5:00 PM,Closed,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://rhythmdiscoverycenter.org/
James Whitcomb Riley Museum Home & Visitor Center,"528 Lockerbie St, Indianapolis, IN 46202, United States",4.7,75,museum,Closed,Closed,Closed,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,Closed,http://rileymuseumhome.org/
Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",4.6,3335,museum,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,http://www.indianamuseum.org/
Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",4.6,1657,museum,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.eiteljorg.org/
NCAA Hall of Champions,"White River State Park, 700 W Washington St, Indianapolis, IN 46204, United States",4.4,418,museum,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.ncaahallofchampions.org/
The Escape Room Indianapolis,"200 S Meridian St STE 220, Indianapolis, IN 46225, United States",4.8,1863,tourist,1:00 - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 1:30 AM,8:30 AM - 1:30 AM,1:00 - 10:00 PM,https://escaperoomindy.com/
Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204, United States",4.7,8028,tourist,Closed,Closed,Closed,Closed,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,http://www.in.gov/iwm
Indianapolis Canal Walk,"Canal Walk, Indianapolis, IN 46202, United States",4.7,2288,tourist,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,https://www.whiteriverstatepark.org/
Indiana Historical Society,"450 W Ohio St, Indianapolis, IN 46202, United States",4.7,842,tourist,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,http://www.indianahistory.org/
Indiana Statehouse,"200 W Washington St, Indianapolis, IN 46204, United States",4.6,224,tourist,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,10:00 AM - 2:00 PM,Closed,https://www.in.gov/idoa/2371.htm
